jobID,submission_time,requested_number_of_processors,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_processors
52,1017.0,1,92.0,1,1018.0,10.0,1028.0,1.0,11.0,1.1,-1,20
100,1951.0,2,5935.0,1,2240.0,593.0,2833.0,289.0,882.0,1.4873524451939293,-1,12 13
30,581.0,2,1409.0,1,583.0,141.0,724.0,2.0,143.0,1.0141843971631206,-1,14 15
141,2741.0,1,11769.0,1,2742.0,1181.0,3923.0,1.0,1182.0,1.0008467400508043,-1,25
218,4248.0,2,66.0,1,4250.0,6.0,4256.0,2.0,8.0,1.3333333333333333,-1,1 16
12,231.0,1,92.0,1,233.0,10.0,243.0,2.0,12.0,1.2,-1,18
15,291.0,2,66.0,1,293.0,7.0,300.0,2.0,9.0,1.2857142857142858,-1,12 13
152,2955.0,2,5935.0,1,2956.0,593.0,3549.0,1.0,594.0,1.0016863406408094,-1,18 17
203,3958.0,2,264.0,1,3959.0,27.0,3986.0,1.0,28.0,1.037037037037037,-1,13 12
25,490.0,1,2799.0,1,491.0,281.0,772.0,1.0,282.0,1.00355871886121,-1,7
4,73.0,1,11769.0,1,75.0,1178.0,1253.0,2.0,1180.0,1.0016977928692699,-1,8
113,2200.0,4,1519.0,1,2240.0,152.0,2392.0,40.0,192.0,1.263157894736842,-1,22 24 21 23
197,3838.0,2,620.0,1,3840.0,62.0,3902.0,2.0,64.0,1.032258064516129,-1,22 12
20,388.0,1,92.0,1,389.0,10.0,399.0,1.0,11.0,1.1,-1,7
222,4330.0,1,2799.0,1,4333.0,280.0,4613.0,3.0,283.0,1.0107142857142857,-1,10
8,151.0,1,92.0,1,152.0,10.0,162.0,1.0,11.0,1.1,-1,16
166,3232.0,1,3864.0,1,3233.0,387.0,3620.0,1.0,388.0,1.0025839793281655,-1,10
57,1111.0,2,5935.0,1,1113.0,593.0,1706.0,2.0,595.0,1.0033726812816188,-1,11 5
40,776.0,2,264.0,1,778.0,26.0,804.0,2.0,28.0,1.0769230769230769,-1,6 3
136,2647.0,1,2799.0,1,2648.0,281.0,2929.0,1.0,282.0,1.00355871886121,-1,18
119,2317.0,2,1409.0,1,2331.0,141.0,2472.0,14.0,155.0,1.099290780141844,-1,27 28
241,4702.0,2,5935.0,1,4703.0,596.0,5299.0,1.0,597.0,1.0016778523489933,-1,5 11
62,1210.0,4,166.0,1,1211.0,17.0,1228.0,1.0,18.0,1.0588235294117647,-1,18 21 20 19
202,3941.0,1,3864.0,1,3942.0,387.0,4329.0,1.0,388.0,1.0025839793281655,-1,14
158,3075.0,2,620.0,1,3076.0,63.0,3139.0,1.0,64.0,1.0158730158730158,-1,26 31
194,3778.0,4,60.0,1,3780.0,4.0,3784.0,2.0,6.0,1.5,-1,34 22 16 10
117,2279.0,2,5935.0,1,2280.0,594.0,2874.0,1.0,595.0,1.0016835016835017,-1,14 10
92,1802.0,2,5935.0,1,2240.0,595.0,2835.0,438.0,1033.0,1.7361344537815127,-1,2 1
89,1744.0,1,11769.0,1,1882.0,1177.0,3059.0,138.0,1315.0,1.1172472387425658,-1,36
28,544.0,2,5935.0,1,545.0,593.0,1138.0,1.0,594.0,1.0016863406408094,-1,9 10
13,251.0,4,1519.0,1,253.0,152.0,405.0,2.0,154.0,1.013157894736842,-1,20 18 19 21
61,1191.0,4,359.0,1,1192.0,37.0,1229.0,1.0,38.0,1.027027027027027,-1,14 17 16 13
54,1055.0,1,885.0,1,1056.0,89.0,1145.0,1.0,90.0,1.0112359550561798,-1,2
18,350.0,2,1409.0,1,352.0,141.0,493.0,2.0,143.0,1.0141843971631206,-1,6 3
224,4371.0,2,620.0,1,4372.0,63.0,4435.0,1.0,64.0,1.0158730158730158,-1,26 25
