jobID,submission_time,requested_number_of_processors,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_processors
181,3538.0,4,2905.0,1,3539.0,291.0,3830.0,1.0,292.0,1.0034364261168385,-1,24 25 14 23
157,3070.0,4,60.0,1,3071.0,5.0,3076.0,1.0,6.0,1.2,-1,1 8 12 14
3,59.0,4,60.0,1,61.0,4.0,65.0,2.0,6.0,1.5,-1,3 6 5 4
53,1036.0,4,359.0,1,1038.0,36.0,1074.0,2.0,38.0,1.0555555555555556,-1,13 12 4 3
209,4075.0,2,620.0,1,4077.0,62.0,4139.0,2.0,64.0,1.032258064516129,-1,5 2
182,3558.0,2,2658.0,1,3559.0,266.0,3825.0,1.0,267.0,1.0037593984962405,-1,27 26
169,3300.0,8,1790.0,1,3301.0,180.0,3481.0,1.0,181.0,1.0055555555555555,-1,27 30 14 23 24 25 26 29
118,2304.0,2,66.0,1,2305.0,7.0,2312.0,1.0,8.0,1.1428571428571428,-1,2 8
5,99.0,4,1519.0,1,100.0,151.0,251.0,1.0,152.0,1.0066225165562914,-1,3 5 6 4
89,1740.0,1,3864.0,1,1741.0,388.0,2129.0,1.0,389.0,1.0025773195876289,-1,6
27,528.0,2,264.0,1,530.0,26.0,556.0,2.0,28.0,1.0769230769230769,-1,3 4
173,3381.0,2,2658.0,1,3382.0,266.0,3648.0,1.0,267.0,1.0037593984962405,-1,32 33
241,4702.0,2,2658.0,1,4703.0,266.0,4969.0,1.0,267.0,1.0037593984962405,-1,16 17
210,4092.0,1,3864.0,1,4094.0,387.0,4481.0,2.0,389.0,1.0051679586563307,-1,6
127,2485.0,1,92.0,1,2486.0,10.0,2496.0,1.0,11.0,1.1,-1,32
226,4403.0,4,2905.0,1,4404.0,291.0,4695.0,1.0,292.0,1.0034364261168385,-1,23 22 20 19
94,1841.0,2,620.0,1,1842.0,63.0,1905.0,1.0,64.0,1.0158730158730158,-1,37 36
176,3440.0,2,264.0,1,3441.0,27.0,3468.0,1.0,28.0,1.037037037037037,-1,34 35
96,1879.0,2,1409.0,1,1906.0,142.0,2048.0,27.0,169.0,1.1901408450704225,-1,36 37
217,4227.0,1,885.0,1,4229.0,89.0,4318.0,2.0,91.0,1.0224719101123596,-1,12
195,3807.0,4,876.0,1,3809.0,88.0,3897.0,2.0,90.0,1.0227272727272727,-1,11 2 16 1
161,3144.0,1,11769.0,1,3145.0,1180.0,4325.0,1.0,1181.0,1.0008474576271187,-1,4
174,3400.0,2,620.0,1,3402.0,62.0,3464.0,2.0,64.0,1.032258064516129,-1,12 7
77,1504.0,1,92.0,1,1505.0,10.0,1515.0,1.0,11.0,1.1,-1,12
191,3731.0,4,2905.0,1,3732.0,291.0,4023.0,1.0,292.0,1.0034364261168385,-1,9 5 3 8
100,1952.0,4,1519.0,1,1987.0,153.0,2140.0,35.0,188.0,1.2287581699346406,-1,2 8 9 28
70,1373.0,4,876.0,1,1374.0,89.0,1463.0,1.0,90.0,1.0112359550561798,-1,25 27 12 26
249,4854.0,4,2905.0,1,4856.0,291.0,5147.0,2.0,293.0,1.006872852233677,-1,34 4 1 33
28,548.0,2,5935.0,1,550.0,593.0,1143.0,2.0,595.0,1.0033726812816188,-1,5 6
108,2112.0,2,620.0,1,2114.0,62.0,2176.0,2.0,64.0,1.032258064516129,-1,15 23
175,3419.0,2,66.0,1,3421.0,7.0,3428.0,2.0,9.0,1.2857142857142858,-1,35 34
24,469.0,4,359.0,1,470.0,36.0,506.0,1.0,37.0,1.0277777777777777,-1,3 4 5 6
56,1094.0,4,1519.0,1,1095.0,151.0,1246.0,1.0,152.0,1.0066225165562914,-1,3 4 10 12
154,3011.0,2,66.0,1,3012.0,7.0,3019.0,1.0,8.0,1.1428571428571428,-1,4 13
111,2167.0,2,1409.0,1,2169.0,141.0,2310.0,2.0,143.0,1.0141843971631206,-1,1 3
